specObjID,ra,dec,data['z'],zErr,velocity,distance_Mpc,distance_ly
8.71585E+18,7.1763764,31.954802,1.989761,0.000466005,596514.4297,8521.63471,27780529155
1.20101E+19,134.9334,30.741018,1.989735,0.000536849,596506.6351,8521.523359,27780166150
1.05588E+19,27.615613,-0.12905451,1.98954,0.001542228,596448.1757,8520.688224,27777443610
1.25191E+19,120.86972,22.349101,1.98951,-1,596439.1819,8520.559742,27777024758
1.28296E+19,187.24095,30.606855,1.989369,0.001418537,596396.9112,8519.955875,27775056152
1.03764E+19,341.4985,-0.48859446,1.989183,0.000884766,596341.1499,8519.159285,27772459268
8.82714E+18,28.322594,-0.7370053,1.989163,5.75E-05,596335.1541,8519.07363,27772180034
1.02965E+19,330.13198,-0.53195704,1.988961,0.000499203,596274.5961,8518.208516,27769359762
8.63476E+18,351.53709,25.318398,1.988828,0.000813938,596234.7238,8517.638911,27767502850
1.06095E+19,31.734413,4.3185435,1.988739,0.001113871,596208.0423,8517.257747,27766260255
9.41955E+18,166.99152,42.024132,1.988675,0.000480618,596188.8556,8516.983651,27765366704
8.54567E+18,5.9228799,17.502791,1.988616,0.000642023,596171.1679,8516.73097,27764542961
1.05735E+19,18.937101,-0.14356404,1.98842,0.000520147,596112.4086,8515.891552,27761806460
8.85538E+18,5.004457,-1.1672565,1.988207,0.000549732,596048.5529,8514.979328,27758832609
1.03977E+19,331.54484,0.83009745,1.987905,0.000889865,595958.0158,8513.685939,27754616163
1.05114E+19,17.279629,-4.0688473,1.987756,0.000780216,595913.3468,8513.047811,27752535863
1.15147E+19,141.66705,33.68267,1.987697,0.00116883,595895.659,8512.795129,27751712120
4.75945E+18,19.947582,0.54472417,1.987594,0.000623107,595864.7804,8512.354006,27750274061
9.86872E+18,352.45358,0.2962028,1.987554,0.000930911,595852.7888,8512.182697,27749715591
8.8453E+18,10.54182,2.8898058,1.987343,0.000681847,595789.5327,8511.279038,27746769664
1.05149E+19,13.109407,-3.9909271,1.98717,0.001361232,595737.6686,8510.538123,27744354282
1.0372E+19,349.32432,0.3110991,1.987112,0.000771077,595720.2807,8510.289724,27743544501
9.20774E+18,162.21844,56.208421,1.987037,0.000152369,595697.7963,8509.968519,27742497371
1.27835E+19,162.48489,27.574722,1.986893,0.000180741,595654.6263,8509.351804,27740486880
1.07659E+19,139.63506,20.606486,1.986888,0.000422496,595653.1273,8509.33039,27740417071
8.36883E+18,200.67322,48.842005,1.986838,0.001182492,595638.1377,8509.116253,27739718984
1.04811E+19,14.436829,-2.4622413,1.986785,0.000807028,595622.2487,8508.889267,27738979012
1.05565E+19,36.21321,-2.2207151,1.986742,0.00075153,595609.3577,8508.705109,27738378657
1.06062E+19,38.851826,3.1981188,1.986719,0.000543115,595602.4624,8508.606606,27738057537
1.05656E+19,29.18245,-1.0636999,1.986576,0.000946787,595559.5922,8507.994174,27736061008
8.69999E+18,19.092781,30.434942,1.986569,0.000500569,595557.4936,8507.964195,27735963276
9.44991E+18,212.25389,59.687599,1.986554,0.000299306,595552.9968,8507.899954,27735753849
7.19236E+18,115.78189,44.859859,1.986443,1.476097,595519.7199,8507.424569,27734204096
8.21025E+18,146.54069,50.274974,1.986431,1.602154,595516.1224,8507.373176,27734036555
9.43169E+18,198.7214,42.821557,1.986378,7.47E-05,595500.2334,8507.146191,27733296583
1.23007E+19,233.01858,34.979627,1.986374,0.001015297,595499.0342,8507.12906,27733240736
9.24722E+18,194.3632,59.94797,1.986306,0.000671808,595478.6484,8506.837834,27732291338
9.14702E+18,34.829038,-4.1534322,1.98603,0.001368841,595395.9058,8505.655797,27728437897
9.47004E+18,221.08191,56.977768,1.985945,0.000611467,595370.4234,8505.291763,27727251149
8.61208E+18,333.98112,25.887062,1.985772,0.001042236,595318.5594,8504.550849,27724835767
8.15173E+18,21.964184,22.460748,1.985745,6.02E-05,595310.465,8504.435215,27724458800
1.22737E+19,255.4566,33.821946,1.985724,3.46E-05,595304.1694,8504.345277,27724165604
9.23256E+18,197.50739,59.027056,1.985695,0.000854933,595295.4754,8504.221078,27723760713
8.54458E+18,6.4980386,19.995862,1.985592,0.002093279,595264.5969,8503.779955,27722322654
1.08392E+19,150.17238,26.770462,1.985532,0.000867402,595246.6093,8503.522991,27721484949
1.27791E+19,150.37653,28.969263,1.985515,0.001136152,595241.5129,8503.450184,27721247600
1.06264E+19,20.571899,4.7591019,1.985383,0.000871578,595201.9403,8502.884862,27719404650
1.25033E+19,133.45653,23.177571,1.985276,0.001252588,595169.8626,8502.426608,27717910744
1.24547E+19,26.561053,8.7959334,1.985237,0.001851083,595158.1707,8502.259581,27717366236
9.89785E+18,22.355309,-0.67501626,1.985024,0.2945894,595094.315,8501.347357,27714392385
8.63815E+18,10.819513,24.726851,1.984917,0.0004252,595062.2373,8500.889104,27712898478
9.25962E+18,177.47444,51.750501,1.984886,0.001106638,595052.9437,8500.756339,27712465664
8.55246E+18,358.71682,18.332908,1.984695,-5,594995.6834,8499.938335,27709798972
9.96986E+18,156.26571,37.046403,1.984624,0.000700527,594974.3982,8499.63426,27708807688
8.30916E+18,166.24322,47.923517,1.984374,8.82E-05,594899.4502,8498.563574,27705317253
8.35664E+18,188.38991,47.010175,1.984314,18.21042,594881.4627,8498.30661,27704479548
1.03662E+19,342.1579,0.23400504,1.984294,0.001034652,594875.4668,8498.220955,27704200313
9.21212E+18,150.55935,52.026343,1.984285,7.23E-05,594872.7687,8498.18241,27704074658
8.65168E+18,22.446243,23.9909,1.984136,0.001330348,594828.0997,8497.544282,27701994358
8.67294E+18,348.30458,25.393495,1.983997,0.000231559,594786.4286,8496.94898,27700053676
9.57024E+18,212.89137,45.155221,1.983929,0.000573747,594766.0428,8496.657754,27699104277
1.0399E+19,332.38248,-1.0098118,1.983626,3.141954,594675.2058,8495.360083,27694873870
1.27835E+19,161.95803,27.906539,1.983253,0.000723036,594563.3834,8493.76262,27689666140
8.71802E+18,4.7298847,36.192763,1.983198,0.00065881,594546.8948,8493.527069,27688898244
1.03585E+19,355.51333,1.4548728,1.983003,4.99E-05,594488.4354,8492.691934,27686175705
1.24424E+19,24.574185,15.090996,1.98299,0.7965617,594484.5381,8492.636258,27685994202
1.08381E+19,153.20405,26.108298,1.982937,0.1169957,594468.6491,8492.409273,27685254230
8.31818E+18,158.83311,45.693862,1.982589,0.001276019,594364.3215,8490.918878,27680395544
8.23948E+18,124.04046,49.091343,1.982583,0.000596759,594362.5227,8490.893182,27680311773
8.70785E+18,26.00891,31.635316,1.98257,0.001055141,594358.6254,8490.837506,27680130270
1.05138E+19,11.665344,-3.4387392,1.982334,0.001327775,594287.8745,8489.826779,27676835299
9.58046E+18,237.77663,42.958949,1.982318,0.2369137,594283.0779,8489.758255,27676611912
8.67628E+18,344.89729,26.672299,1.982194,0.001261875,594245.9036,8489.227195,27674880656
8.36561E+18,205.57258,50.410156,1.982068,0.001092055,594208.1299,8488.687569,27673121476
9.15374E+18,36.972893,-4.7696319,1.981983,0.000952398,594182.6475,8488.323536,27671934728
1.22848E+19,248.69522,35.097361,1.981882,0.000832774,594152.3685,8487.890979,27670524592
9.20333E+18,156.60274,52.882467,1.981757,0.00124666,594114.8945,8487.355636,27668779374
1.07952E+19,149.23491,13.932629,1.981697,0.000715154,594096.907,8487.098672,27667941670
9.89563E+18,17.355077,-0.29868093,1.981653,4.946099,594083.7162,8486.910231,27667327353
